,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
169,Sixth Street Viaduct,BIP,90023,14,active,90027,7/25/2012,"$1,650,000 ","$1,353,000 ",12/15/2015,,,"44,854","22,777",308,273,"1,455",560,32,"20,465","15,086","8,077","3,562",NA,NA,"38,032.33",NA,,55,90023,BIP,14,active,90027,7/25/2012,"$1,650,000 ","$1,353,000 ",12/15/2015,,,Los Angeles (East L.A.),"198,000","213,050","257,250","302,600","335,850",BIP,90023,14,active,90027,7/25/2012,"$1,650,000 ","$1,353,000 ",12/15/2015,,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
170,South LA Animal Shelter,Animal Services,90047,8,completed,90045,4/2/2009,"$170,000 ","$130,000 ",4/2/2009,,12/18/2012,"15,393","5,734","31,915",260,"1,656",223,54,"17,826","14,128","12,204","6,409",NA,NA,"30,989.52",NA,,137,90047,Animal Services,8,completed,90045,4/2/2009,"$170,000 ","$130,000 ",4/2/2009,,12/18/2012,Los Angeles (South L.A.),"242,900","246,350","286,900","319,900","343,400",Animal Services,90047,8,completed,90045,4/2/2009,"$170,000 ","$130,000 ",4/2/2009,,12/18/2012,2012,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Animal Services
171,South LA Care and Control Center,Animal Services,90018,10,completed,90058,9/1/1998,"$40,000 ","$33,000 ",9/1/1998,3/15/1999,4/18/2001,"29,312","12,825","15,663","1,821","2,326",471,65,"18,265","16,375","11,265","5,154",NA,NA,"38,673.58",NA,,51,90018,Animal Services,10,completed,90058,9/1/1998,"$40,000 ","$33,000 ",9/1/1998,3/15/1999,4/18/2001,Los Angeles (Jefferson Park),"264,900","268,900","330,350","416,000","478,050",Animal Services,90018,10,completed,90058,9/1/1998,"$40,000 ","$33,000 ",9/1/1998,3/15/1999,4/18/2001,2001,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Animal Services
172,South LA Fire Station No. 21,Fire,90011,9,completed,33140,4/28/2003,"$56,000 ","$56,000 ",4/28/2003,,,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,380","16,922","4,785",NA,NA,"28,883.41",NA,,20,90011,Fire,9,completed,33140,4/28/2003,"$56,000 ","$56,000 ",4/28/2003,,,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",Fire,90011,9,completed,33140,4/28/2003,"$56,000 ","$56,000 ",4/28/2003,,,,Los Angeles,Los Angeles,Los Angeles,Florida,Florida,Florida,Not Local,Out of State,Fire/Police Station
173,South LA Fire Station No. 64,Fire,90061,8,completed,90066,9/23/2003,"$58,434 ","$66,000 ",9/23/2003,1/25/2005,3/19/2009,"16,379","5,794","10,026",96,979,170,44,"12,054","8,367","5,248","2,085",NA,NA,"30,989.52",NA,,144,90061,Fire,8,completed,90066,9/23/2003,"$58,434 ","$66,000 ",9/23/2003,1/25/2005,3/19/2009,Los Angeles (South L.A.),"185,950","196,100","242,350","284,500","311,750",Fire,90061,8,completed,90066,9/23/2003,"$58,434 ","$66,000 ",9/23/2003,1/25/2005,3/19/2009,2009,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
174,Southern Pacific Slip [#1],Harbor,90744,15,completed,90732,8/8/2011,"$97,026 ","$77,500 ",9/1/2011,n/a,1/14/2013,"47,792","23,800","1,716","1,268","2,701",588,452,"23,766","17,404","10,403","3,783",NA,NA,"44,302.32",NA,,176,90744,Harbor,15,completed,90732,8/8/2011,"$97,026 ","$77,500 ",9/1/2011,n/a,1/14/2013,Los Angeles (Wilmington),"259,150","260,450","295,100","356,350","378,650",Harbor,90744,15,completed,90732,8/8/2011,"$97,026 ","$77,500 ",9/1/2011,n/a,1/14/2013,2013,Wilmington,LA Harbor Area,Los Angeles,San Pedro,LA Harbor Area,Los Angeles,Area Local,Local,Harbor
175,Southern Pacific Slip [#2],Harbor,90744,15,completed,90404,8/8/2011,"$222,901 ","$203,375 ",9/1/2011,n/a,12/9/2012,"47,792","23,800","1,716","1,268","2,701",588,452,"23,766","17,404","10,403","3,783",NA,NA,"44,302.32",NA,,174,90744,Harbor,15,completed,90404,8/8/2011,"$222,901 ","$203,375 ",9/1/2011,n/a,12/9/2012,Los Angeles (Wilmington),"259,150","260,450","295,100","356,350","378,650",Harbor,90744,15,completed,90404,8/8/2011,"$222,901 ","$203,375 ",9/1/2011,n/a,12/9/2012,2012,Wilmington,LA Harbor Area,Los Angeles,Santa Monica,West Side,Los Angeles,City Artist,Local,Harbor
176,State + Soto St. Bridges,BIP,90033,14,completed,90291,8/6/2002,"$27,930 ","$20,000 ",N/A,1/13/2003,,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,85,90033,BIP,14,completed,90291,8/6/2002,"$27,930 ","$20,000 ",N/A,1/13/2003,,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",BIP,90033,14,completed,90291,8/6/2002,"$27,930 ","$20,000 ",N/A,1/13/2003,,,Los Angeles,Los Angeles,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
177,Stevenson Branch Library,Library,90023,14,completed,90028,10/1/1994,"$13,500 ","$13,500 ",10/1/1994,5/6/1996,12/1/1996,"44,854","22,777",308,273,"1,455",560,32,"20,465","15,086","8,075","3,562",NA,NA,"38,032.33",NA,,57,90023,Library,14,completed,90028,10/1/1994,"$13,500 ","$13,500 ",10/1/1994,5/6/1996,12/1/1996,Los Angeles (East L.A.),"198,000","213,050","257,250","302,600","335,850",Library,90023,14,completed,90028,10/1/1994,"$13,500 ","$13,500 ",10/1/1994,5/6/1996,12/1/1996,1996,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
178,Stoner Recreation Center,Rec+Parks,90025,11,completed,90031,9/7/2000,"$21,450 ","$17,000 ",9/7/2000,11/1/2000,3/3/2003,"6,354","27,257","1,185","8,382","2,285",210,49,"9,559","20,132","8,673","4,988",NA,NA,"82,595.81",NA,,61,90025,Rec+Parks,11,completed,90031,9/7/2000,"$21,450 ","$17,000 ",9/7/2000,11/1/2000,3/3/2003,Los Angeles (Sawtelle/West L.A.),"892,950","935,200","1,089,400","1,125,550","1,242,400",Rec+Parks,90025,11,completed,90031,9/7/2000,"$21,450 ","$17,000 ",9/7/2000,11/1/2000,3/3/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
179,Studio City Branch Library,Library,91604,2,completed,90031,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,12/9/1998,5/17/2001,"2,471","24,008","1,194","1,946","1,153",80,26,"6,491","11,667","8,114","3,901",NA,NA,"38,673.58",NA,,254,91604,Library,2,completed,90031,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,12/9/1998,5/17/2001,Los Angeles (Studio City),"887,750","927,300","1,088,350","1,215,700","1,297,900",Library,91604,2,completed,90031,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,12/9/1998,5/17/2001,2001,Studio City,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
180,Studio City Fire Station No. 78,Fire,91604,2,completed,91304,8/17/2004,"$58,434 ","$50,000 ",8/17/2004,02/16/05;4/12/05,4/21/2008,"2,471","24,008","1,194","1,946","1,153",80,26,"6,491","11,667","8,114","3,901",NA,NA,"38,673.58",NA,,253,91604,Fire,2,completed,91304,8/17/2004,"$58,434 ","$50,000 ",8/17/2004,02/16/05;4/12/05,4/21/2008,Los Angeles (Studio City),"887,750","927,300","1,088,350","1,215,700","1,297,900",Fire,91604,2,completed,91304,8/17/2004,"$58,434 ","$50,000 ",8/17/2004,02/16/05;4/12/05,4/21/2008,2008,Studio City,San Fernando Valley,Los Angeles,Canoga Park,San Fernando Valley,Los Angeles,Area Local,Local,Fire/Police Station
181,Sun Valley Branch Library,Library,91352,6,completed,90045,6/29/2000,"$20,000 ","$20,000 ",6/29/1999,8/28/2000,5/20/2003,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,217,91352,Library,6,completed,90045,6/29/2000,"$20,000 ","$20,000 ",6/29/1999,8/28/2000,5/20/2003,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",Library,91352,6,completed,90045,6/29/2000,"$20,000 ","$20,000 ",6/29/1999,8/28/2000,5/20/2003,2003,Sun Valley,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
182,Sun Valley Fire Station No. 77,Fire,91352,7,completed,85387,7/31/2002,"$56,000 ","$57,000 ",7/31/2002,8/10/2004,,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"53,662.43",NA,,220,91352,Fire,7,completed,85387,7/31/2002,"$56,000 ","$57,000 ",7/31/2002,8/10/2004,,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",Fire,91352,7,completed,85387,7/31/2002,"$56,000 ","$57,000 ",7/31/2002,8/10/2004,,,Sun Valley,San Fernando Valley,Los Angeles,Arizona,Arizona,Arizona,Not Local,Out of State,Fire/Police Station
183,Sun Valley Metrolink Station,DOT,91352,6,completed,90039,10/1/1998,"$5,000 ","$5,000 ",10/1/1998,N/A,1/14/2002,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,219,91352,DOT,6,completed,90039,10/1/1998,"$5,000 ","$5,000 ",10/1/1998,N/A,1/14/2002,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",DOT,91352,6,completed,90039,10/1/1998,"$5,000 ","$5,000 ",10/1/1998,N/A,1/14/2002,2002,Sun Valley,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Public Transport
184,Sunland-Tujunga Branch Library,Library,91042,7,completed,90064,12/1/1994,"$27,500 ","$27,500 ",12/1/1994,,8/1/1995,"20,120","7,140",471,"2,586","1,418",155,16,"7,950","8,653","8,788","3,340",NA,NA,"53,662.43",NA,,178,91042,Library,7,completed,90064,12/1/1994,"$27,500 ","$27,500 ",12/1/1994,,8/1/1995,Los Angeles (Tujunga),"368,700","368,650","439,000","476,850","508,750",Library,91042,7,completed,90064,12/1/1994,"$27,500 ","$27,500 ",12/1/1994,,8/1/1995,1995,Tujunga,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
185,Sylmar Branch Library,Library,91342,7,completed,97031,1/17/2001,"$20,000 ","$20,000 ",1/17/2001,4/18/2001,9/10/2003,"68,444","45,803","4,570","5,091","3,767",968,74,"36,433","29,776","20,709","7,944",NA,NA,"53,662.43",NA,,206,91342,Library,7,completed,97031,1/17/2001,"$20,000 ","$20,000 ",1/17/2001,4/18/2001,9/10/2003,Los Angeles (Sylmar),"298,200","306,500","364,450","400,000","422,000",Library,91342,7,completed,97031,1/17/2001,"$20,000 ","$20,000 ",1/17/2001,4/18/2001,9/10/2003,2003,Sylmar,San Fernando Valley,Los Angeles,Oregon,Oregon,Oregon,Not Local,Out of State,Library
186,Sylmar/San Fernando Metrolink Station`,DOT,91342,*07,completed,14213,10/1/1994,"$25,000 ","$25,000 ",6/1/1995,,7/28/1998,"68,444","45,803","4,570","5,091","3,767",968,74,"36,433","29,776","20,709","7,944",NA,NA,"44,302.32",NA,,207,91342,DOT,*07,completed,14213,10/1/1994,"$25,000 ","$25,000 ",6/1/1995,,7/28/1998,Los Angeles (Sylmar),"298,200","306,500","364,450","400,000","422,000",DOT,91342,*07,completed,14213,10/1/1994,"$25,000 ","$25,000 ",6/1/1995,,7/28/1998,1998,Sylmar,San Fernando Valley,Los Angeles,New York,New York,New York,Not Local,Out of State,Public Transport
187,Tampa Ave. Bridge over LA River,BIP,91335,3,completed,90039,9/22/2003,"$43,000 ","$6,000 ",N/A,3/20/2006,,"37,606","39,990","3,029","9,201","3,895",494,90,"25,595","25,038","18,320","8,227",NA,NA,"65,860.47",NA,,200,91335,BIP,3,completed,90039,9/22/2003,"$43,000 ","$6,000 ",N/A,3/20/2006,,Los Angeles (Reseda),"312,850","318,300","390,700","429,350","446,850",BIP,91335,3,completed,90039,9/22/2003,"$43,000 ","$6,000 ",N/A,3/20/2006,,,Reseda,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
188,Tarzana Child Care Center,Rec+Parks,91356,3,completed,90031,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,2/11/1998,8/31/2000,"4,089","22,804","1,267","1,908","1,534",77,46,"8,348","8,875","8,476","4,928",NA,NA,"65,860.47",NA,,223,91356,Rec+Parks,3,completed,90031,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,2/11/1998,8/31/2000,Los Angeles (Tarzana),"845,600","858,600","1,011,250","1,074,300","1,131,450",Rec+Parks,91356,3,completed,90031,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,2/11/1998,8/31/2000,2000,Tarzana,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Adult/Childcare and Development
189,Tiara Street Intergenerational Center,Rec+Parks,91601,2,completed,90660,8/17/2010,"$11,480 ","$9,500 ",11/17/2010,5/19/2011,5/31/2013,"16,291","22,025","2,899","2,493","1,910",283,57,"11,214","16,457","7,953","2,739",NA,NA,"38,673.58",NA,,249,91601,Rec+Parks,2,completed,90660,8/17/2010,"$11,480 ","$9,500 ",11/17/2010,5/19/2011,5/31/2013,Los Angeles (North Hollywood),"431,950","443,550","540,400","586,350","603,700",Rec+Parks,91601,2,completed,90660,8/17/2010,"$11,480 ","$9,500 ",11/17/2010,5/19/2011,5/31/2013,2013,North Hollywood,San Fernando Valley,Los Angeles,Pico Rivera,0,Los Angeles,City Artist,Local,Adult/Childcare and Development
190,Tom Bradley International Terminal 1,LAWA,90045,11,completed,10011,3/8/2007,"$12,725 ","$12,725 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,110,90045,LAWA,11,completed,10011,3/8/2007,"$12,725 ","$12,725 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,10011,3/8/2007,"$12,725 ","$12,725 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
191,Tom Bradley International Terminal 10,LAWA,90045,11,completed,93003,3/8/2007,"$9,461 ","$9,461 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,118,90045,LAWA,11,completed,90066,3/8/2007,"$12,730 ","$12,730 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90066,3/8/2007,"$12,730 ","$12,730 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Airport
192,Tom Bradley International Terminal 11,LAWA,90045,11,completed,94103,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,117,90045,LAWA,11,completed,90302,3/8/2007,"$13,100 ","$13,100 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90302,3/8/2007,"$13,100 ","$13,100 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Airport
193,Tom Bradley International Terminal 12,LAWA,90045,11,completed,94105,3/8/2007,"$12,700 ","$12,700 ",3/1/2008,,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,116,90045,LAWA,11,completed,91214,3/8/2007,"$15,100 ","$15,100 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,91214,3/8/2007,"$15,100 ","$15,100 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,La Crescenta,0,Los Angeles,City Artist,Local,Airport
194,Tom Bradley International Terminal 13,LAWA,90045,11,completed,94131,3/8/2007,"$14,770 ","$14,770 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,129,90045,LAWA,11,completed,92024,3/8/2007,"$16,665 ","$16,665 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,92024,3/8/2007,"$16,665 ","$16,665 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Encinitas,San Diego,San Diego,Not Local,From California,Airport
195,Tom Bradley International Terminal 14,LAWA,90045,11,completed,11217,3/8/2007,"$18,000 ","$18,000 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,119,90045,LAWA,11,completed,93003,3/8/2007,"$9,461 ","$9,461 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,93003,3/8/2007,"$9,461 ","$9,461 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Ventura,Ventura,Ventura,Not Local,From California,Airport
196,Tom Bradley International Terminal 15,LAWA,90045,11,completed,92024,3/8/2007,"$16,665 ","$16,665 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,111,90045,LAWA,11,completed,94103,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,94103,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,San Francisco,San Francisco,San Francisco,Not Local,From California,Airport
197,Tom Bradley International Terminal 16,LAWA,90045,11,completed,11211,3/8/2007,"$12,979 ","$12,979 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,125,90045,LAWA,11,completed,94105,3/8/2007,"$12,700 ","$12,700 ",3/1/2008,,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,94105,3/8/2007,"$12,700 ","$12,700 ",3/1/2008,,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,San Francisco,San Francisco,San Francisco,Not Local,From California,Airport
198,Tom Bradley International Terminal 17,LAWA,90045,11,completed,91214,3/8/2007,"$15,100 ","$15,100 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,115,90045,LAWA,11,completed,94131,3/8/2007,"$14,770 ","$14,770 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,94131,3/8/2007,"$14,770 ","$14,770 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,San Francisco,San Francisco,San Francisco,Not Local,From California,Airport
199,Tom Bradley International Terminal 2,LAWA,90045,11,completed,10018,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,127,90045,LAWA,11,completed,10018,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,10018,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
200,Tom Bradley International Terminal 3,LAWA,90045,11,completed,11205,3/8/2007,"$15,960 ","$15,960 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,122,90045,LAWA,11,completed,11205,3/8/2007,"$15,960 ","$15,960 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,11205,3/8/2007,"$15,960 ","$15,960 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
201,Tom Bradley International Terminal 4,LAWA,90045,11,completed,11373,3/8/2007,"$17,000 ","$17,000 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,123,90045,LAWA,11,completed,11211,3/8/2007,"$12,979 ","$12,979 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,11211,3/8/2007,"$12,979 ","$12,979 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
202,Tom Bradley International Terminal 5,LAWA,90045,11,completed,60605,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,130,90045,LAWA,11,completed,11217,3/8/2007,"$18,000 ","$18,000 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,11217,3/8/2007,"$18,000 ","$18,000 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
203,Tom Bradley International Terminal 6,LAWA,90045,11,completed,77006,3/8/2007,"$15,000 ","$15,000 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,113,90045,LAWA,11,completed,11373,3/8/2007,"$17,000 ","$17,000 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,11373,3/8/2007,"$17,000 ","$17,000 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Airport
204,Tom Bradley International Terminal 7,LAWA,90045,11,completed,90041,3/8/2007,"$15,810 ","$15,810 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,124,90045,LAWA,11,completed,60605,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,60605,3/8/2007,"$16,000 ","$16,000 ",3/1/2008,,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Illinois,Illinois,Illinois,Not Local,Out of State,Airport
205,Tom Bradley International Terminal 8,LAWA,90045,11,completed,90066,3/8/2007,"$12,730 ","$12,730 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,131,90045,LAWA,11,completed,77006,3/8/2007,"$15,000 ","$15,000 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,77006,3/8/2007,"$15,000 ","$15,000 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Texas,Texas,Texas,Not Local,Out of State,Airport
206,Tom Bradley International Terminal 9,LAWA,90045,11,completed,90302,3/8/2007,"$13,100 ","$13,100 ",3/1/2008,n/a,2/28/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,126,90045,LAWA,11,completed,90041,3/8/2007,"$15,810 ","$15,810 ",3/1/2008,n/a,2/28/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90041,3/8/2007,"$15,810 ","$15,810 ",3/1/2008,n/a,2/28/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Airport
207,Topanga Police Station | Site-Specific Artwork,Police,91304,3,completed,10012,10/9/2003,"$238,803 ","$195,800 ",10/9/2003,1/6/2004,4/18/2008,"28,866","20,160","6,757","2,558","2,557",304,73,"17,473","16,119","12,789","5,769",NA,NA,"65,860.47",NA,,181,91304,Police,3,completed,10012,10/9/2003,"$238,803 ","$195,800 ",10/9/2003,1/6/2004,4/18/2008,Los Angeles (Canoga Park),"424,650","420,350","490,050","557,750","588,150",Police,91304,3,completed,10012,10/9/2003,"$238,803 ","$195,800 ",10/9/2003,1/6/2004,4/18/2008,2008,Canoga Park,San Fernando Valley,Los Angeles,New York,New York,New York,Not Local,Out of State,Fire/Police Station
