"","project.ZIP","PROJECT.NAME","AGENCY","project.CD","STATUS","artist.ZIP","project.START.date","FULL.1..amount","ART.contract..","art.contract.START","COMMUNITY.MEETING.date.s.","END.DATE","Hispanic..by.zip.code..2010","White..by.zip.code..2010","Black..by.zip.code..2010","Asian..by.zip.code..2010","Two.ore.more.races..by.zip.code..2010","American.Indian..by.zip.code..2010","Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010","Age..25..by.zip.code..2010","Age.25.44..by.zip.code..2010","Age.45.64..by.zip.code..2010","Age..64..by.zip.code..2010","Median.Household.Income.2013.by.CD","X","X.1","median","pop"
"57",90023,"Air Treatment Facility | Mission & Jesse","BOE","14","completed","90023","11/17/2005","$148,920","$77,200","5/2/2013","11/03/11","6/27/15","44,854","22,777","308","273","1,455","560",32,"20,465","15,086","8,076","3,562","38,032.33",NA,NA,"33,812","45,903"
"58",90024,"Westwood Parking Structure","DOT","05","completed","90065","2/1/1997","$70,000","$70,000","2/1/1997","5-8-97","12/15/00","4,314","29,232","1,018","12,615","2,608","79",57,"25,514","11,056","6,058","3,562","64,545.08",NA,NA,"52,965","33,588"
"59",90024,"Westwood Branch Library [#1]","Library","05","completed","90086","6/28/2001","$20,000","$20,000","6/28/2001","01/08/02","4/20/05","4,314","29,232","1,018","12,615","2,608","79",58,"25,514","11,056","6,058","3,562","64,545.08",NA,NA,"52,965","33,588"
"60",90024,"Westwood Branch Library [#2]","Library","05","completed","92870","9/1/2004","$15,000","$15,000","9/1/2004","n/a","5/3/05","4,314","29,232","1,018","12,615","2,608","79",59,"25,514","11,056","6,058","3,562","64,545.08",NA,NA,"52,965","33,588"
"61",90025,"Stoner Recreation Center","Rec+Parks","11","completed","90031","9/7/2000","$21,450","$17,000","9/7/2000","11/01/00","3/3/03","6,354","27,257","1,185","8,382","2,285","210",49,"9,559","20,132","8,673","4,988","82,595.81",NA,NA,"68,806","42,147"
"62",90025,"Santa Monica Blvd. Transit Parkway","BOE","05","completed","90291","8/7/2003","$398,401","$382,000","8/7/2003","","","6,355","27,257","1,186","8,382","2,285","210",50,"9,559","20,132","8,673","4,988","64,545.08",NA,NA,"68,806","42,147"
"63",90026,"LAPD Metropolitan Division [Old Rampart Renovation]","Police","13","completed","90039","3/6/2012","$176,860","$145,000","3/6/2012","9/25/2014, 11/19/2014","4/8/16","38,701","31,713","2,001","11,759","3,353","852",84,"21,064","27,881","15,027","6,102","39,267.94",NA,NA,"43,918","67,869"
"64",90026,"Edendale Branch Library","Library","13","completed","90026","5/24/2001","$20,000","$20,000","5/24/2001","7/17/01","2/8/05","38,701","31,713","2,001","11,759","3,353","852",84,"21,064","27,881","15,027","6,102","39,267.94",NA,NA,"43,918","67,869"
"65",90026,"Echo Park Childcare Center","Rec+Parks","01","completed","90230","12/16/1999","$7,600","$7,600","12/28/1999","8/22/00","4/14/03","38,701","31,713","2,001","11,759","3,353","852",84,"21,064","27,881","15,027","6,102","38,673.58",NA,NA,"43,918","67,869"
"66",90027,"Winnick Family Children's Zoo","Zoo","04","completed","87305","11/9/2000","$252,000","$252,000","11/9/2000","12/00","9/12/01","9,568","31,535","1,412","5,993","2,056","203",36,"9,309","19,757","11,304","6,277","58,888.16",NA,NA,"54,878","45,151"
"67",90027,"Los Angeles Zoo [#1] (revisited)","Zoo","04","completed","90063","3/20/2002","$297,170","$243,680","4/15/2002","11/26/06; 07/31/03","9/7/04","9,569","31,535","1,412","5,993","2,056","203",36,"9,309","19,757","11,304","6,277","58,888.16",NA,NA,"54,878","45,151"
"68",90027,"Los Feliz Branch Library","Library","04","completed","90232","1/1/1996","$28,000","$28,000","1/1/1996","04/28/97; 12/19/97","6/1/99","9,567","31,535","1,412","5,993","2,056","203",36,"9,309","19,757","11,304","6,277","58,888.16",NA,NA,"54,878","45,151"
"69",90028,"Hollywood Fire Station No. 82","Fire","13","completed","87502","11/30/2007","$100,000","$105,001","11/30/2007","10/14/08","3/31/16","9,229","18,132","2,282","2,396","1,422","211",59,"7,340","13,227","5,873","3,020","39,267.94",NA,NA,"31,718","28,714"
"70",90029,"Cahuenga Branch Library","Library","13","completed","90012","10/1/1994","$19,000","$19,000","10/1/1994","07/26/95","5/31/97","22,660","16,947","1,232","6,285","1,898","343",40,"12,248","14,607","8,963","4,061","39,267.94",NA,NA,"35,870","38,617"
"71",90031,"Ave. 19 East + West Bridges","BIP","01","completed","90039","8/28/2002","$28,000","$10,000","N/A","1/16/2003","8/27/05","26,643","14,012","525","9,970","1,475","427",25,"14,671","12,878","8,814","4,206","38,673.58",NA,NA,"34,035","39,316"
"72",90031,"Downey Park Swimming Pool","Rec+Parks","01","completed","90058","10/1/2009","$25,000","$20,500","10/1/2009","none required","9/30/12","26,643","14,012","525","9,970","1,475","427",25,"14,671","12,878","8,814","4,206","38,673.58",NA,NA,"34,035","39,316"
"73",90031,"North Central Animal Care & Services Center","Animal Services","01","completed","90058","11/14/2002","$98,000","$80,360","11/14/2002","10/11/5","2/28/07","26,643","14,012","525","9,970","1,475","427",25,"14,671","12,878","8,814","4,206","38,673.58",NA,NA,"34,035","39,316"
"74",90031,"Lincoln Heights Branch Library","Library","01","completed","92651","10/1/1994","$19,000","$19,000","10/1/1994","4/29/95; 9/14/95","5/31/97","26,643","14,012","525","9,970","1,475","427",25,"14,671","12,878","8,814","4,206","38,673.58",NA,NA,"34,035","39,316"
"75",90031,"Ave. 19 Bridges","BIP","01","completed","90291","12/21/2004","$28,000","$10,000","N/A","02/05/2005","7/7/05","26,643","14,012","525","9,970","1,475","427",25,"14,671","12,878","8,814","4,206","38,673.58",NA,NA,"34,035","39,316"
"76",90032,"Barrio Action Youth and Family Center","BOE","14","completed","90031","11/6/2006","$45,000","$36,900","11/6/2006","2/01/07, 2/07/07","2/26/08","37,372","20,608","1,050","5,120","1,878","680",33,"17,822","14,823","9,785","4,809","38,032.33",NA,NA,"44,197","45,786"
